X,Y,OBJECTID,FEATURE_ID,ESITE,CODE,NAME,ABB_NAME,ADDRESS,ZIPCODE
-122.337692975971,47.6110904360313,1008,2109,0000000,520,Westlake Customer Shop,Westlake Customer Shop,Westlake Station Acrd & 4th Ave,98101
-121.788276473919,47.493459965648,1009,1904,25808,480,Snoqualmie Valley Historical Museum,Snoqualmie Valley Historical Muesum,320 North Bend Blvd S,98045
-122.267992055733,47.6730884011259,1010,1717,344823,64,National Archives and Records Admin,National Archives and Records Admin,6125 Sandpoint Way NE,98115
-122.202768933727,47.6206459793965,1011,2393,113771,64,Bellevue Post Office,Bellevue Post Office,1171 Bellevue Way NE,98004
-122.132471501709,47.579528368905,1012,1876,888637,420,U S West,U.S. West,15900 SE Eastgate Way,98008
-122.094188264872,47.4499920244359,1013,6003032,0000000,600,Wetland 14 Natural Area,Wetland 14 Natural Area,188th Ave SE & SE 170th St,98055
-121.958335679496,47.545115649128,1014,186,90197,600,Summit North Park,Summit North Park,SE 63rd St,98006
-122.319964373448,47.307121828041,1015,2288,0000000,600,Celebration Park,Celebration Park,11th Ave S & S 324th St,98003
-122.497370577878,47.5121408599668,1016,2306,0000000,510,Southworth Ferry Terminal,Southworth Ferry Terminal,11564 SE SR-160,98366
-122.296534274272,47.6077421856325,1017,6007036,0000000,600,Gerber Park,Gerber Park,Martin Luther King Jr Way,98122
-122.336582273827,47.6017175543028,1018,1769,0000000,630,Pier 50,Pier 50,Alaskan Way & Yesler Way,98104
-122.292592326491,47.5595704982953,1019,2462,0000000,510,Columbia City Link Light Rail Station,Columbia City LLR Station,Martin Luther King Jr Way S & S Edmunds St,98108
-122.169114029549,47.4887972739576,1020,10001444,1013198,695,Los Jalapenos,Los Jalapenos,3700 NE 4TH ST,98056
-122.285818015492,47.4701252094323,1021,10001547,1013000,695,Javi's Mexi-Market,Javi's Mexi-Market,14820 TUKWILA INTERNATIONAL BLVD,98168
-122.197910711422,47.4844963134735,1022,10001548,586779,695,Ay Jalisco Tienda Mexicana y Carniceria,Ay Jalisco,108 FACTORY AVE N,98057
-122.213731500067,47.4760699339201,1023,10001549,1009246,695,California Market,California Market,536 RAINIER AVE S,98057
-122.185522105104,47.4491569419165,1024,10001551,899711,695,Mi Casa Market,Mi Casa Market,17174 116TH AVE SE,98058
-122.214343318461,47.4764943867256,1025,10001552,1042262,695,Latin Market,Latin Market,217 S 4TH PL,98057
-122.123323202567,47.6745815766804,1026,10001554,355819,695,La Quemada,La Quemada,16260 REDMOND WAY ,98052
-122.14908793685,47.6282632943417,1027,10001555,96486,695,Plaza Mexico,Plaza Mexico,14330 NE 20TH ST,98007
-122.127293126306,47.6177427635137,1028,10001556,,695,La Superior,La Superior,900 160TH AVE NE,98008
-122.342478881188,47.7026500439335,1029,10001557,,695,Latina Real,Latina Real,10008 AURORA AVE N,98113
-122.218477862874,47.4891413431737,1030,10001558,1101626,695,Carniceria Los Compadres,Carniceria Los Compadres,419 RAINIER AVE N,98157
-122.269478323802,47.5320662329463,1031,10001559,505633,695,Mi Ranchito,Mi Ranchito,7820 RAINIER AVE S,98118
-122.048646049486,47.5446333267384,1032,10001560,868594,695,Tienda La Venadita,Tienda La Venadita,730 NW GILMAN BLVD,98027
-122.306241661545,47.5004637460516,1033,10001561,512626,695,El Paso Supermarket,El Paso Supermarket,11417 DES MOINES MEMORIAL DR S,98168
-122.313881540566,47.5630348397217,1034,10001562,462485,695,Abarrotes El Oaxaqueno,Abarrotes El Oaxaqueno,4515 15TH AVE S,98108
-122.314406175239,47.5997658970247,1035,10001563,440188,695,Carniceria Azteca,Carniceria Azteca,1265 S MAIN ST,98144
-122.284092860498,47.5559849311933,1036,10001564,839753,695,Carmelitas Mexican Store,Carmelitas Mexican Store,5041 RAINIER AVE S,98118
-122.335722319438,47.5203651384183,1037,10001565,993441,695,El Quetzal,El Quetzal,9240 2ND AVE SW,98106
-122.22072109881,47.7787836705074,1038,10001566,967070,695,Safeway,Safeway,24040 BOTHELL EVERETT HWY,98021
-122.181499309698,47.6811865348167,1039,10001568,44232,695,Costco,Costco,8629 120TH AVE NE,98033
-122.091161062643,47.6743812180639,1040,10001569,866644,695,Costco,Costco,7725 188TH AVE NE,98052
-122.330759837814,47.5653018390369,1041,10001570,475724,695,Costco,Costco,4401 4TH AVE S,98134
-122.199896495484,47.4962132327567,1042,10001583,985004,695,Target,Target,1215 N LANDING WAY,98057
-122.36891829461,47.5222204808026,1043,10001587,507109,695,Target,Target,2800 SW BARTON ST,98126
-122.289034116786,47.4665387149359,1044,10001593,397975,695,Tabarak Minimarket & Halal,Tabarak Minimarket & Halal,15213 MILITARY RD S,98188
-122.299716749808,47.3778155102918,1045,10001594,385816,695,786 International Halal Market,786 International Halal Market,24823 PACIFIC HWY S,98032
-122.144919105589,47.6310379856179,1046,10001596,107728,695,Halal Meats,Halal Meats,14625 NE 24TH ST,98007
-122.307994347806,47.3582765873954,1047,10001597,382556,695,Al-Barawi International Food Market,Al-Barawi,27040 PACIFIC HWY S,98032
